الرقم,اسم الشركة,الهاتف,الإيميل,الموقع,العنوان,القطاع,رقم الصفحة,تاريخ الاستخراج
2639,البدوية للتصدير والنقل الدولى,,shaher8521@gmail.com,,محافظة دمياط,الأثاث,272,2025-07-22T04:41:24.298564
2640,كيان للمساحه والمقاولات,,ahmed@kayanconserv.org,,محافظة الجيزة,الأثاث,272,2025-07-22T04:41:24.299505
2641,اليسر للهندسة و التعدين,01061727895,irini@alyousrrocksalt.com,	https://alyousrrocksalt.com,سيوة   						محافظة الاسكندرية,الصناعات الكيماوية والأسمدة,273,2025-07-22T04:41:27.096503
2642,شركة بام للتجارة والتوكيلات التجاريه,,info@bamm82.com,,محافظة الغربية,الأثاث,273,2025-07-22T04:41:27.097108
2643,Cover,٠٠٢٠١١١١٧١٢٦٠٤,ezzat@covertray.co,http://www.covertray.co,ابو النمرس جيزة  						محافظة الجيزة,الطباعة والتغليف والورق,273,2025-07-22T04:41:27.097690
2644,Dr.Hosny Farm,,ahmadhosny7@gmail.com,,محافظة الجيزة,الأثاث,273,2025-07-22T04:41:27.098238
2645,HELAL STAR,,ahmed001321@gmail.com,,محافظة أسيوط,الأثاث,273,2025-07-22T04:41:27.098816
2646,منشأة احمد حلمي سيد محمد,,ahsa.helmy1993@gmail.com,,محافظة الجيزة,الأثاث,273,2025-07-22T04:41:27.099354
2647,الدبركي للتجارة,01027404229,info@rwadaltabia.com,,مدينة السادس من أكتوبر – الحي الثامن – مول فايف ستار- مكتب 504 الدور الثالث، 6 October City، Egypt  						محافظة الجيزة,الحاصلات الزراعية,273,2025-07-22T04:41:27.099897
2648,سنيوريتا للصناعات الغذائية,01289999159,ahenaish@americana-food.com,,طريق القاهرة الاسكندرية الزراعي - طنطا - الغربية  						محافظة الغربية,الصناعات الغذائية,273,2025-07-22T04:41:27.100494
2649,النمر لتصنيع الضفائر الكهربائية للسيارات,01289141989,a.nemr@nemrtrade.com,,منطقة بياض العرب الصناعية - مجمع الصناعات الصغيرة والمتوسطة - وحدة رقم 58  						محافظة بني سويف,الصناعات الهندسية,273,2025-07-22T04:41:27.101142
2650,ebn misr for import and export,01007685012,bzooreg@gmail.com,,1 شارع طلعت حرب ارض الجنينة الويلى الكبير القاهرة مصر  						محافظة القاهرة,الصناعات الغذائية,273,2025-07-22T04:41:27.101737
2651,اجوا للاستثمار التجاري ذ.م.م,00201102383721,agoasales@gmail.com,,عبد السلام الشوال - المعادي - القاهرة  						محافظة المنيا,الحاصلات الزراعية,274,2025-07-22T04:41:29.697449
2652,Nileton,,ca.ahmed.rashad@gmail.com,http://www.nileton.com,محافظة الاسكندرية,الملابس الجاهزة,274,2025-07-22T04:41:29.698068
2653,الحنين هيربس للاستيراد والتصدير,00201007572627,info@ahherbs.com,https://ahherbs.com/,إبشواي – محافظة الفيوم – مصر  						محافظة الفيوم,الحاصلات الزراعية,274,2025-07-22T04:41:29.698680
2654,فروتيلا للصناعات الغذائية - ش.م.م,+(202) 33043927,info@fruttella.com,http://www.Fruttella.com,8 شارع فوه الدور الرابع شقة رقم 9 – المهندسين - القاهرة  						محافظة القاهرة,الصناعات الغذائية,274,2025-07-22T04:41:29.699281
2655,تاجر,01009532304,bcjidrsfhgfy@gmail.com,,محافظة الفيوم,الحاصلات الزراعية,274,2025-07-22T04:41:29.699852
2656,بيو هيربل فارم,201017809440+,info@bioherbalfarm.com,http://www.bioherbalfarm.com,شارع البحر الجديد - ابشواى - الفيوم - مصر  						محافظة الفيوم,الحاصلات الزراعية,274,2025-07-22T04:41:29.700460
2657,ريفال ايجيبت لصناعة الملابس,,Rival.egy.apparel@gmail.com,,محافظة كفر الشيخ,الملابس الجاهزة,274,2025-07-22T04:41:29.701040
2658,الفيروز,,Saad45936@gmail.com,,محافظة الفيوم,الأثاث,274,2025-07-22T04:41:29.701600
2659,المصطفى للمخللات,,altramsyahmdaltramsy@gmail.com,,محافظة الجيزة,الأثاث,274,2025-07-22T04:41:29.702206
2660,Sigma,,ahmed.saied_sigma@yahoo.com,,محافظة الجيزة,الأثاث,274,2025-07-22T04:41:29.702827
2661,active for supplies and export,0020482609000,smaha2020@hotmail.com,http://www.activeeg.com,sadat city  						محافظة المنوفية,الحاصلات الزراعية,275,2025-07-22T04:41:32.363685
2662,iCare Products,01111114945,a.samir@icareproducts.co,http://www.icareproducts.co,14 ق 1 الصناعيه الاولي ال 80 فدان - منطقه بلبيس الصناعيه العاشر من رمضان ( امام البنك الاهلي المصري )     						محافظة الشرقية,الصناعات الطبية,275,2025-07-22T04:41:32.364747
2663,شركة روما لبيع و شراء و توزيع مستحضرات التجميل,‭٠٠ ٢٠ ١٠٠ ٤٣٧٦٧٠٥‬,w2jack@yahoo.com,,محافظة الشرقية,الصناعات الطبية,275,2025-07-22T04:41:32.365789
2664,اى فريت للاستيراد والتصدير,+20223052771,accountant@ifreightco.com,http://www.ifreightco.com ,محافظة القاهرة,الأثاث,275,2025-07-22T04:41:32.366810
2665,ترست هربل,,trust_herbal@hotmail.com,https://www.trustherbal-egy.com/Home/Index,شارع الجلاء - ابشواى - الفيوم - مصر   						محافظة الفيوم,الحاصلات الزراعية,275,2025-07-22T04:41:32.367888
2666,احجار مصر للرخام والجرانيت,202-25452006,sales@egypt-stones.com,http://www.egypt-stones.com,مدينة 15 مايو المنطقة الصناعية الثانية - القاهرة - مصر  						محافظة القاهرة,مواد البناء,275,2025-07-22T04:41:32.368971
2667,Herbs Group for import and export,,sales@herbs-group.com,,محافظة الفيوم,الأثاث,275,2025-07-22T04:41:32.369981
2668,ارت ديزاين,,contact@energy-up.org,,دمياط- تقسيم المدينة المنورة   						محافظة دمياط,الصناعات الكيماوية والأسمدة,275,2025-07-22T04:41:32.371083
2669,White shark,,AhmedDiaaAbdullah@gmail.com,,محافظة الاسكندرية,الأثاث,275,2025-07-22T04:41:32.372321
2670,اورينت جروب,+203 488 9820,hamdy@orienteg.com,http://www.orienteg.com,عرابى المنشية اسكندرية   						محافظة الاسكندرية,الأثاث,275,2025-07-22T04:41:32.373523
2671,Export World Company,01012324238,exportworld000@gmail.com,http://www.exportworld.eb2a.com,المحله الكبرى -52شارع الحريه - امام المدرسه التجريبيه  						محافظة الغربية,المفروشات المنزلية,276,2025-07-22T04:41:34.959175
2672,احلى صحه لتعبئه وتصنيع المواد الغذائية,+201012324238,ahlaexport@gmail.com,https://ahlaseha-eg.com/,المحله الكبرى ش احمدمحمود خلف مخازن جمعية الغزل ملك احمد محمد محمود 44115 ق  						محافظة الغربية,الصناعات الغذائية,276,2025-07-22T04:41:34.959753
2673,الصالح جروب,,aatef1980@yahoo.com,,محافظة المنوفية,الأثاث,276,2025-07-22T04:41:34.960283
2674,شركة المزارعن المصريون,,a_egyptianfarmers@yahoo.com,,محافظة الغربية,الأثاث,276,2025-07-22T04:41:34.960799
2675,الشاهين لتصدير الحاصلات الزراعية,+201126559090,alshaheenegypt@gmail.com,https://alshaheenegypt.com/,صناديد- مركز طنطا - م الغربية   						محافظة الغربية,الحاصلات الزراعية,276,2025-07-22T04:41:34.961322
2676,بافلي للاستيراد والتصدير,0237814728,ahmedazizoman@gmail.com,,46 عمارات ابو الفتوح الهرم - الجيزه  						محافظة الجيزة,الصناعات الغذائية,276,2025-07-22T04:41:34.961843
2677,دار الهندسه للمقاولات والتوريدات العموميه,,ahmedelkadyc2013@yahoo.com,,محافظة الجيزة,الأثاث,276,2025-07-22T04:41:34.962422
2678,ايه ام جلوبال,+20573661122,ahmed@am-global.net,http://www.am-global.net/,دمياط - كفر البطيخ - الطريق السريع   						محافظة دمياط,الصناعات الغذائية,276,2025-07-22T04:41:34.963001
2679,zetamedicine,,zetamedicine@yahoo.com,,محافظة الجيزة,الأثاث,276,2025-07-22T04:41:34.963568
2680,شركة سادة التمور,01100679931,attar4334@gmail.com,https://www.facebook.com/ssdataltomor?locale=ar_AR,الشرقية  						محافظة الشرقية,الصناعات الغذائية,276,2025-07-22T04:41:34.964104
2681,وايت فيلج,01032321371,mozalamoza17@gmail.com,,محافظة القاهرة,الحاصلات الزراعية,277,2025-07-22T04:41:37.679756
2682,mena house,,menahouse97@yahoo.com,,محافظة الاسكندرية,الأثاث,277,2025-07-22T04:41:37.680343
2683,شركه ايه اس ايه,01009168616,adhm1974@yahoo.com,,المنطقه الصناعية بمدينه 15 مايو القاهره   						محافظة القاهرة,الملابس الجاهزة,277,2025-07-22T04:41:37.680908
2684,انجاز للاستيراد والتصدير,01000931519,wahap20201986@gmail.com,,ابوصير دفنو/ اطسا  						محافظة الفيوم,الحاصلات الزراعية,277,2025-07-22T04:41:37.681449
2685,شركة أبناء العربي,01010108196,abnaaelaraby@gmail.com,https://www.elaraby-decor.com,مصر- 6 اكتوبر   						محافظة الجيزة,الصناعات الهندسية,277,2025-07-22T04:41:37.682014
2686,الاندلس,,ahmedefyfy@gmail.com,,محافظة الفيوم,الحاصلات الزراعية,277,2025-07-22T04:41:37.682581
2687,ايجي سيرف للخدمات الطبية و التجارة,,ahmed.deraaz@egyserv.org,,محافظة الاسكندرية,الأثاث,277,2025-07-22T04:41:37.683149
2688,EUROMED LOGISTICS,034843981,INFO@EUROMEDLOG.COM,,محافظة الاسكندرية,الحاصلات الزراعية,277,2025-07-22T04:41:37.683719
2689,A&H لصناعة منتجات السيليكون و البلاستيك,,ahmedmwhob@gmail.com,,محافظة الفيوم,الأثاث,277,2025-07-22T04:41:37.684265
2690,تاج لتجارة الكيماويات,,a.saleh@tagforchemicalc.com,,محافظة الاسكندرية,الأثاث,277,2025-07-22T04:41:37.684814
2691,بروفينيش,,arch.ahmedomar218@gmail.com,,محافظة الاسكندرية,الأثاث,278,2025-07-22T04:41:40.310644
2692,شركة بيور لايف للصناعات الغذائية,01069509444,purelive2525@gmail.com,https://morepurelife.com/,محافظة القليوبية,الصناعات الغذائية,278,2025-07-22T04:41:40.311669
2693,مصر للرخام والجرانيت,,info@misrgroupmg.com,,محافظة الجيزة,مواد البناء,278,2025-07-22T04:41:40.312670
2694,الفارس الذهبي,00201020000590,Elfares.eg111@gmail.com,,الدلنجات محافظة البحيره ، عند كوبري ابيا   						محافظة البحيرة,الحاصلات الزراعية,278,2025-07-22T04:41:40.313578
2695,شركة الحوت التجارية,01020115777,Alhot.co@outlook.sa,https://www.alhot.co,مركز بدر العقار رقم 17التل الكبير أ  						محافظة البحيرة,الحاصلات الزراعية,278,2025-07-22T04:41:40.314187
2696,الجنة للتجارة والتصدير الحاصلات الزراعية,,ahmedf_youssif@yahoo.com,,طنطا . منشأة جنزور  غربية  						محافظة الغربية,الحاصلات الزراعية,278,2025-07-22T04:41:40.315101
2697,تطوير لمنتجات تغذية الحيوان,27373606-012  2+,sales@tutweer.net,http://www.tutweer.net,مدينة الفتح الصناعية (ب) بكوم أوشيم التابعة لمحافظة الفيوم .  						محافظة الفيوم,الصناعات الغذائية,278,2025-07-22T04:41:40.316157
2698,مطحن سنابل الخير,,ahmedelsamman2631997@gmail.com,,محافظة قنا,الأثاث,278,2025-07-22T04:41:40.317150
2699,Sharzal leather crafts,,ph.elsharma2019@gmail.com,,محافظة البحيرة,الأثاث,278,2025-07-22T04:41:40.318301
2700,دريم هيربس,01097972975,dreamherbscompany@gmail.com,https://dreamherbsco.com/,الفيوم - ابشواي - ابوجنشو  						محافظة الفيوم,الحاصلات الزراعية,278,2025-07-22T04:41:40.318933
2701,المملكة للتصدير والاستيراد,,ealhotch@gmail.com,,محافظة الشرقية,الأثاث,279,2025-07-22T04:41:42.901443
2702,Foodex for export and import,+201200578006,info@foodex-eg.com,http://www.foodexeg.com,30 شارع الوفاء(البنداري) منطقه الاستاد -الغربيه -طنطا  						محافظة الغربية,الصناعات الغذائية,279,2025-07-22T04:41:42.902117
2703,قمة الرياده للاستيراد والتصدير,,qalriada@gmail.com,,دمياط - كفر سعد- الوسطاني  						محافظة دمياط,الأثاث,279,2025-07-22T04:41:42.902784
2704,موسسة احمد سليمان للاستيراد والتصدير,,biomedical5125@gmail.com,,محافظة الشرقية,الأثاث,279,2025-07-22T04:41:42.903867
2705,الشركه العالميه للهندسه الميكانيكيه والإلكترونية,01144992718,ahmedsamy@becatronics.com,http://www.becatronics.com,الاداره:-  18أ عمارات العبور -صلاح سالم - مدينة نصر - امام بانوراما حرب اكتوبر    المصنع :- مدينة السلام على الطريق الدائرى   						محافظة القاهرة,الصناعات الهندسية,279,2025-07-22T04:41:42.904686
2706,النجم للاستيراد والتصدير,01121041313,syf014001@gmail.com,,المنيا بني مزار   						محافظة المنيا,الحاصلات الزراعية,279,2025-07-22T04:41:42.905587
2707,IECO,,Ahmedmaarouf527@gmail.com,,محافظة الجيزة,الأثاث,279,2025-07-22T04:41:42.906322
2708,تري فارما للأدوية,,am_fathallah@outlook.com,,محافظة الاسكندرية,الأثاث,279,2025-07-22T04:41:42.907202
2709,المدينه للاستيراد والتصدير,01000931342,mosaidahmed45@gmail.com,,م .رحمي / اطسا / الفيوم  						محافظة الفيوم,الحاصلات الزراعية,279,2025-07-22T04:41:42.908125
2710,جولد للاستيراد والتصدير,,goldeg2025@gmail.com,,محافظة الفيوم,الأثاث,279,2025-07-22T04:41:42.908787
2711,محمد نصر,01273374994,Masriamold@yahoo.com,http://Www.masriamold.blogspot.com,طريق الاسكندرية القاهرة الصحراوي ك ٢٣ مرغم المنطقة الصناعية   						محافظة الاسكندرية,الصناعات الهندسية,280,2025-07-22T04:41:45.492843
2712,روك تايل للاحجار,,ahmedbadraldin18@gmail.com,,محافظة الدقهلية,الأثاث,280,2025-07-22T04:41:45.493447
2713,دار دون للنشر والتوزيع,01004300788,info@dardwen.com,http://www.dardwen.com,5 شارع البستان السعيد-وسط البلد- القاهرة  						محافظة القاهرة,الكتب والمصنفات الفنية,280,2025-07-22T04:41:45.493990
2714,ميامي لتصدير والاستراد,,ahmedsoliman20@yahoo.com,,محافظة الاسكندرية,الأثاث,280,2025-07-22T04:41:45.494541
2715,tabark,01010122508,ghedan83@icloud.com,,مول علي الدين السادس من اكتوبر  						محافظة الجيزة,الصناعات الغذائية,280,2025-07-22T04:41:45.495078
2716,Crown Nile كراون نيل,00201201496030,crownnile@gmail.com,,محافظة القاهرة,الحاصلات الزراعية,280,2025-07-22T04:41:45.495711
2717,CICPIC,,CICPIC.EGY@GMAIL.COM,,محافظة الاسكندرية,الأثاث,280,2025-07-22T04:41:45.496278
2718,ثلاجة المصطفى للتبريد والتجميد,,la2.jed@bmc.edu.sa,,محافظة البحيرة,الأثاث,280,2025-07-22T04:41:45.496829
2719,شركة جزيرة الزيتون لتجارة الزيتون والمخللات,01200056317,olive.island.egy@gmail.com,,الزنكلون - الزقازيق - الشرقية- مصر  						محافظة الشرقية,الحاصلات الزراعية,280,2025-07-22T04:41:45.497444
2720,بداية لتصدير النباتات العطرية والحاصلات الزراعية,01143488062,bedayacontact35@gmail.com,,بدهل /مركز سمسطا /بني سويف  ملك/مصطفي محمود احمد  						محافظة بني سويف,الحاصلات الزراعية,280,2025-07-22T04:41:45.498022
2721,RM لاستيراد والتصدير,,Abo346090@gmail.com,,محافظة الدقهلية,الأثاث,281,2025-07-22T04:41:48.154420
2722,herbs international,01067329069,info@herbs-international-eg.com,,ش حسين يوسف الطوابق فيصل   						محافظة الجيزة,الحاصلات الزراعية,281,2025-07-22T04:41:48.155080
2723,جرين تاورز لتعبئه وخلط الدهانات الديكوريه,,nabil01020076633@gmail.com,,محافظة الغربية,الأثاث,281,2025-07-22T04:41:48.156565
2724,مصانع كساب للصناعات البلاستيكية,01062002177 - 01010056417 - 01281212025 - 01557700299,Sales@kassabplus.com,,الكيلو ٢٥ طريق الاسماعيليه القاهره الصحراوي جمهورية مصر العربية  						محافظة الإسماعيلية,الأثاث,281,2025-07-22T04:41:48.157803
2725,نورسين للاستيراد والتصدير,,nourseen_ahmed@hotmail.com,,دمياط - قسم أول - شارع محمد أمين يوسف  						محافظة دمياط,الأثاث,281,2025-07-22T04:41:48.158694
2726,vital foods,01000906790,vitalfoods2024@gmail.com,,2 El salamony st El raml Alexandria   						محافظة الاسكندرية,الصناعات الغذائية,281,2025-07-22T04:41:48.159268
2727,اسلامكو للجلود والاحذيه,,starbux@live.com,,محافظة الاسكندرية,الجلود والمنتجات الجلدية,281,2025-07-22T04:41:48.159801
2728,Fancy speed cargo systems,,Ali.ahmed@fancyspeed.org,,محافظة الجيزة,الأثاث,281,2025-07-22T04:41:48.160347
2729,Resan Medical wear,,excellence.pharmainc@gmail.com,,محافظة القاهرة,الملابس الجاهزة,281,2025-07-22T04:41:48.160884
2730,Olympia import export,,Elsewefy@olympia-eg.com,,محافظة الاسكندرية,الأثاث,281,2025-07-22T04:41:48.161444
2731,ATS,,arzak.bahgat@gmail.com,,محافظة الجيزة,الأثاث,282,2025-07-22T04:41:50.775310
2732,ارميا ابراهيم نجيب فانوس,01225844408,armiaibrahim2016@gmail.com,,النزهه الجديده  						محافظة القاهرة,الحاصلات الزراعية,282,2025-07-22T04:41:50.776032
2733,اروهيد هربس,+2)01000256745,fady@arrowheadherbs.com,,46 شارع بورسعيد - ابشواي - الفيوم - مصر  						محافظة الفيوم,الحاصلات الزراعية,282,2025-07-22T04:41:50.776745
2734,جورما للتصدير والاستثمار الزراعي,,info@gorma-eg.com,,محافظة الأقصر,الأثاث,282,2025-07-22T04:41:50.777431
2735,الوطنية الألمانية للصناعات الهندسية,01090030086,elwatnia.elalmania@gmail.com,,محافظة المنيا - المنيا الجديدة - المنطقة الصناعية جنوب المطاهرة منطقة 3 بلوك B  						محافظة المنيا,الصناعات الكيماوية والأسمدة,282,2025-07-22T04:41:50.778126
2736,فرست داى لتجفيف الخضروات والفاكهة,01220025060,wizobizo1@gmail.com,https://firstdayeg.com/,وحدة 103 -مجمع الصناعات الصغيرة -بياض العرب-بنى سويف  						محافظة بني سويف,الصناعات الغذائية,282,2025-07-22T04:41:50.778829
2737,المؤسسه المتحده لتجاره البزور الزراعيه,,asamhbshndy745@gmail.com,,محافظة الجيزة,الأثاث,282,2025-07-22T04:41:50.779524
2738,OSAMA ELAKRAE FOR SUPPLY AND COMMUNITY SERVICES,,SUPPLY.COMMUNITYSERVICES@GMAIL.COM,,محافظة المنوفية,الأثاث,282,2025-07-22T04:41:50.780221
2739,EMBABY group,,embaby_group@hotmail.com,,محافظة الدقهلية,الأثاث,282,2025-07-22T04:41:50.780917
2740,اسامه سعد حسين,01001227620,Osama.saad10@yahoo.com,,المنيا ابوقرقاص ابيوها  						محافظة المنيا,الحاصلات الزراعية,282,2025-07-22T04:41:50.781621
2741,Alshaheen,01000142023,Alshaheentrade@gmail.com,,مركز ابوالمطامير  						محافظة البحيرة,الحاصلات الزراعية,283,2025-07-22T04:41:53.406639
2742,الشركة الصناعية للمعادن وادوات المائده,0224822527,ossama@helcometalseg.com,http://www.helcometals.com,10 طريق صلاح سالم العباسيه القاهره  						محافظة القاهرة,الصناعات الهندسية,283,2025-07-22T04:41:53.407291
2743,النور للتكنولوجيا والتطوير,,osamamohmedfahim@gmail.com,,محافظة أسوان,الأثاث,283,2025-07-22T04:41:53.407854
2744,الصقر,,moka202045@yahoo.com,,محافظة الجيزة,الأثاث,283,2025-07-22T04:41:53.408403
2745,اسبايسس لاند,01011383270,info@spices-land.com,http://www.spices-land.com,شارع الروبي-ابوجنشوا - ابشواي -الفيوم  						محافظة الفيوم,الحاصلات الزراعية,283,2025-07-22T04:41:53.408951
2746,يحياوي للاستيراد والتصدير,+2-084-2-794-794.,sales@yehiawytrade.com,http://yehiawytrade.com/,منزل حاج ربيع فهمي ، قرية جراادو ، إدارة اطسا ، محافظة الفيوم ، مصر  						محافظة الفيوم,الحاصلات الزراعية,283,2025-07-22T04:41:53.409539
2747,اييوو للتجارة العالمية,01114250188,ayyoo2020@gmail.com,http://www,ayyoo.net,29 شارع فوزي معاذ ، سموحة ، الاسكندرية  						محافظة الاسكندرية,الجلود والمنتجات الجلدية,283,2025-07-22T04:41:53.410091
2748,agrosetta,,agrosetta2020@gmail.com,,محافظة البحيرة,الأثاث,283,2025-07-22T04:41:53.410637
2749,أى تى للتصدير والتجارة,202-26246881,it.co.export.trade@gmail.com,https://www.facebook.com/it.co.export.trade,14 ش المدينة المنورة- النزهة الجديده-القاهرة  						محافظة القاهرة,الحاصلات الزراعية,283,2025-07-22T04:41:53.411211
2750,الزاد للتصدير,,info@zadforexport.com,,محافظة البحيرة,الأثاث,283,2025-07-22T04:41:53.411758
2751,https://sevenquality.com/,,acsegypt3@hotmail.com,,محافظة دمياط,الأثاث,285,2025-07-22T04:42:22.181594
2752,الزهراء للتصدير والاستيراد,,free2ashraf2003@yahoo.com,,محافظة الجيزة,الأثاث,285,2025-07-22T04:42:22.182223
2753,الفيروز للمقاولات والتوريدات العمومية,,bdaljwadashrf32@gmail.com,,محافظة الجيزة,الأثاث,285,2025-07-22T04:42:22.182840
2754,شركه جام باك لتصنيع مواد التعبئة والتغليف,,ashrafjp@hotmail.com,,محافظة الجيزة,الأثاث,285,2025-07-22T04:42:22.183928
2755,قصر الغباشى انترناشونال,+(2057) 2196006,info@alghobashy.com,http://www.alghobashy.com,دمياط - اول طريق عزبة البرج -امام مسجد الحطاب  						محافظة دمياط,الأثاث,285,2025-07-22T04:42:22.185559
2756,isoplast for plastic industries,٠١٠٠١٢٥٠٠٤٣,isoplast2011@yahoo.com,,السادس من اكتوبر - المنطقة الصناعية الثانية  - قطعج رقم ٢١٠/١  						محافظة الجيزة,الصناعات الكيماوية والأسمدة,285,2025-07-22T04:42:22.186219
2757,كيرو ماربل,02 27541302 / (002) 01002112437,ashraf@kiromarble.com,http://www.kiromarble.com/,محافظة القاهرة,مواد البناء,285,2025-07-22T04:42:22.186832
2758,فوشيا تكس,01050865510,foshiatex.shop@gmail.com,http://www.foushyatex.com,القطعة 2 / 29 منطقة الصناعات النسيجية زمام شركة مصر المحلة الكبرى  						محافظة الغربية,المفروشات المنزلية,285,2025-07-22T04:42:22.187586
2759,الصفا للرخام والجرانيت,,marketing@alsafamarble.net,https://alsafa-marble.com/,محافظة الجيزة,مواد البناء,285,2025-07-22T04:42:22.188493
2760,المستقبل بلاست,01275755293,ashrafmina906@gmail.com,https://almustaqpalplast.mystrikingly.com/,محافظة الجيزة,الطباعة والتغليف والورق,285,2025-07-22T04:42:22.189057
2761,اصل الحلوب للسمن الطبيعى,+202-37447489,sales@aslalhaloub.com,http://www.aslalhaloub.com/,المنطقه الصناعيه بكوم اوشيم  						محافظة الفيوم,الصناعات الغذائية,286,2025-07-22T04:42:24.797301
2762,اعشاب الميداني,,info@elmedani-herbs.com,https://www.elmedani-herbs.com/index.html,ش المرور، أبو جنشو، إبشواي، الفيوم، مصر.  						محافظة الفيوم,الحاصلات الزراعية,286,2025-07-22T04:42:24.798042
2763,اعالى البحار لتصنيع الأعلاف والاستيراد والتصدير,00201061692168,mhmdalsydamramramr@gmail.com,,نهطاى - مكز السنطة - الغربية   						محافظة الغربية,الصناعات الغذائية,286,2025-07-22T04:42:24.800113
2764,افريكان هيربس,,sales@african-herbs.com,https://www.african-herbs-eg.com/,بجوار البنك الأهلي ، ابشواى الفيوم ، مصر  						محافظة الفيوم,الحاصلات الزراعية,286,2025-07-22T04:42:24.800910
2765,MJW perfume,,akrammoh.51@gmail.com,,محافظة الاسكندرية,الأثاث,286,2025-07-22T04:42:24.801510
2766,اكس ايجيبت - صادرات مصر,00201200811580,akram.william@x-egypt.com,http://www.x-egypt.com,21 ش. احمد تيسير، العصافرة بحرى - الاسكندرية  						محافظة الاسكندرية,الحاصلات الزراعية,286,2025-07-22T04:42:24.802763
2767,الأغصان للأعشاب والتوابل,0227873286,info@alaghsan.com,http://www.alaghsan.com,منطقة بياض العرب الصناعية  						محافظة بني سويف,الحاصلات الزراعية,286,2025-07-22T04:42:24.803589
2768,شركة الامل للحاصلات الزراعية,20 45 3252525,alamal@alamal.com,https://alamal.com,نديبة - دمنهور - البحيرة  						محافظة البحيرة,الحاصلات الزراعية,286,2025-07-22T04:42:24.804200
2769,الإسماعيلية الوطنية للصناعات الغذائية,3850882- 3850883– 01001415684- 022621107,246@expoegypt.com,- http://www.foodico.com/,المصنع : الفردان طريق بور سعيد ك 9 بالإسماعيلية - الإدارة : القاهرة – مساكن شيراتون – 20 عمارات مصر للتعمير  						محافظة الإسماعيلية,الصناعات الغذائية,286,2025-07-22T04:42:24.804733
2770,الإيطالية المصرية لإستصلاح الأراضي,3480874/064 - 01274871115,AYMAN3322@yahoo.com,,الإسماعيلية – مدينة المستقبل – المنطقة الصناعية الثانية  						محافظة الإسماعيلية,الحاصلات الزراعية,286,2025-07-22T04:42:24.805299
2771,الاسماعيلية لطحن وتعبئة ملح الطعام,01001971249 - 01227211081,285@expoegypt.com,http://bit.ly/3ieUwPM,المنطقة الصناعية – مجمع الصناعات الغذائية – عنبر 7  						محافظة الإسماعيلية,الصناعات الغذائية,287,2025-07-22T04:42:27.426728
2772,الامين للاستيراد والتصدير والحاصلات الزراعية,00201123909817,export@alamin-herbs.com,https://alaminherbs.com,ش البحر الجديد- ابو جنشو- مركز ابشواي -    						محافظة الفيوم,الحاصلات الزراعية,287,2025-07-22T04:42:27.427406
2773,مفازا للاسمدة الزراعية,,bdrdawr@gmail.com,,محافظة المنوفية,الأثاث,287,2025-07-22T04:42:27.427991
2774,البدوى ميديكال لصناعة وتجارة مستلزمات الطبية (هالة احمد صالح ),+(202)42151874-42130539,info@elbadawymedical.com,,شارع المعز من شارع الجيش -قليوب -محافظة القليوبية   						محافظة القليوبية,medical,287,2025-07-22T04:42:27.428604
2775,البسفور للاستيراد والتصدير,0473239988,abdollah.fayed@gmail.com,,ش عبد السلام عارف- ملك ياسر حسن القاضى - كفر الشيخ  						محافظة كفر الشيخ,الحاصلات الزراعية,287,2025-07-22T04:42:27.429218
2776,Al Mahaba For Plastics,01220601520,albear_wadie@almahabagroup.com,http://www.almahabagroup.com,المنطقه الصناعيه الثالثه، A1، مدينه العاشر من رمضان  						محافظة الشرقية,الصناعات الكيماوية والأسمدة,287,2025-07-22T04:42:27.429788
2777,التاج الذهبى للتصدير والاستيراد,0020453505034 / 0020453505700,eltagelzahby@yahoo.com,,الدلنجات - البحيرة  						محافظة البحيرة,الحاصلات الزراعية,287,2025-07-22T04:42:27.430389
2778,التسنيم للعسل,,info@altasneem.com,https://altasneemhoney.com,،شارع مستشفى الندى،الفيوم، مصر  						محافظة الفيوم,الصناعات الغذائية,287,2025-07-22T04:42:27.430954
2779,الجاسمين,01098999929,aljasmine.pickles@gmail.com,,الفيوم - ميدان المسلة - برج بدر الدور الرابع شقة 304  						محافظة الفيوم,الصناعات الغذائية,287,2025-07-22T04:42:27.431518
2780,الجبل الابيض,0224474873,aly.ghallab@yahoo.com,,ارض سلطان - المنيا  						محافظة المنيا,الصناعات الكيماوية والأسمدة,287,2025-07-22T04:42:27.432083
2781,الجنوب,1000720011,info@algnobco.com,,22 شارع بورسعيد - المنيا  						محافظة المنيا,الحاصلات الزراعية,288,2025-07-22T04:42:30.018238
2782,EMGT-الحسين محمد للتجارة العامة,,info@emgt-egypt.com,,محافظة الجيزة,الأثاث,288,2025-07-22T04:42:30.019045
2783,الحسينى لبيع وتصنيع خراطيم البلاستيك,01027467195,69@expoegypt.com,,بئر العبد شارع حميد  						محافظة شمال سيناء,plastic,288,2025-07-22T04:42:30.019638
2784,الخليجية للملابس الجاهزة,3481111 – 01225225039 - 01201000717,355@expoegypt.com,,المنطقة الحرة العامة بالإسماعيلية ، مصر  						محافظة الإسماعيلية,الملابس الجاهزة,288,2025-07-22T04:42:30.020248
